doctor_name,qualification,specialization,designation,chamber,division,image_url,profile_url,,
Dr. Nishith Ranjan Dey,"MBBS, FRCP, MD (SKIN & VD)","Aesthetic Dermatology, Cosmetology & Regenerative Medicine Specialist",Chittagong Medical College & Hospital,"Associate Professor, Dermatology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Nishith-Ranjan-Dey.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-nishith-ranjan-dey/,,
Dr. Pritish Barua,"MBBS (CU), DGUM (UK), DD (Australia)","Skin, Allergy, Hair, Nail, Sexual Diseases Specialist","Lab One Health Services, Chittagong","Consultant, Dermatology & Venereology",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Pritish-Barua.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-pritish-barua/,,
Dr. Md. Jahangir Alam Chowdhury,"MBBS, FCPS (Physical Medicine)","Arthritis, Pain, Paralysis, Physical Medicine Rehabilitation Specialist",Chattogram Maa-O-Shishu Hospital Medical College,"Associate Professor & Head, Physical Medicine & Rehabilitation",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Jahangir-Alam-Chowdhury.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-jahangir-alam-chowdhury/,,
Dr. Nazmun Nahar Rosy,"MBBS, FCPS (Obs & Gyne)","Gynecology, Obstetrics, Infertility Specialist & Laparoscopic Surgeon","Health View Maternity & Child Hospital, Chittagong",Fellowship in Infertility & Reproductive Medicine,Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Nazmun-Nahar-Rosy.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-nazmun-nahar-rosy/,,
Prof. Col. Dr. Sohel Ahmed,"MBBS (CU), FCPS (Surgery), FACS (USA)","General, Laparoscopic & Colorectal Surgery Specialist","Apollo Imperial Hospital, Chittagong",Post Graduate Training in Colorectal Surgery,Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Porf.-Col.-Dr.-Sohel-Ahmed.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-col-dr-sohel-ahmed/,,
Dr. Prasenjit Barua,"MBBS, FCPS (Medicine), MACP (USA)",Medicine & Diabetes Specialist,Chittagong Medical College & Hospital,Fellowship Training in Gastroenterology & Liver Diseases,Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Prasenjit-Barua.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-prasenjit-barua/,,
Prof. Dr. Md. Akbar Husain Bhuiyan,"MBBS, MS (Pediatric Surgery), Trained in Plastic Surgery (Japan)",Child & Plastic Surgery Specialist,Chittagong Medical College & Hospital,"Professor & Head (Ex), Pediatric Surgery",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-Md.-Akbar-Husain-Bhuiy.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-md-akbar-husain-bhuiyan/,,
Prof. Dr. S.M. Ashraf Ali,"MBBS, FCPS (Surgery), FMAS (India), FACS (USA)",General & Advanced Laparoscopic Surgeon,Marine City Medical College & Hospital,Higher Training in Advanced Laparoscopic Surgery (Singapore & Japan),Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-S.M.-Ashraf-Ali.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-s-m-ashraf-ali/,,
Dr. Mohammed Maksudul Karim,"MBBS, BCS (Health), FCPS (Medicine), MCPS (Medicine)",Medicine Specialist,Chittagong Medical College & Hospital,"Consultant, Medicine",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mohammed-Maksudul-Karim.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mohammed-maksudul-karim/,,
Dr. M. A. Yousuf Chowdhury,"MBBS, BCS (Health), MD (Internal Medicine), Fellow in Diabetology (BIRDEM)",Medicine & Diabetes Specialist,Chittagong Medical College & Hospital,"Associate Professor, Medicine",Chittagong,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-MA-Yousuf-Chowdhury.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-m-a-yousuf-chowdhury/,,
